Source,Target,Type,Id,Label,Weight
1,353,Directed,1,,1.0
1,1416,Directed,1057,,1.0
2,353,Directed,2,,1.0
2,1524,Directed,1038,,1.0
3,353,Directed,3,,1.0
3,1416,Directed,826,,1.0
4,353,Directed,4,,1.0
4,485,Directed,359,,1.0
4,1495,Directed,833,,1.0
5,353,Directed,5,,1.0
5,1416,Directed,1031,,1.0
6,353,Directed,6,,1.0
6,395,Directed,141,,1.0
6,1416,Directed,1052,,1.0
7,353,Directed,7,,1.0
7,1495,Directed,1126,,1.0
8,353,Directed,8,,1.0
8,1495,Directed,852,,1.0
9,353,Directed,9,,1.0
9,1416,Directed,1023,,1.0
10,353,Directed,10,,1.0
10,1434,Directed,829,,1.0
11,354,Directed,11,,1.0
11,401,Directed,101,,1.0
11,1555,Directed,983,,1.0
12,355,Directed,12,,1.0
12,434,Directed,207,,1.0
12,1548,Directed,849,,1.0
13,354,Directed,14,,1.0
13,356,Directed,13,,1.0
13,401,Directed,171,,1.0
13,1555,Directed,924,,1.0
14,357,Directed,15,,1.0
14,486,Directed,362,,1.0
14,1515,Directed,950,,1.0
15,358,Directed,16,,1.0
15,1539,Directed,1062,,1.0
16,359,Directed,17,,1.0
16,1495,Directed,1141,,1.0
17,357,Directed,18,,1.0
17,1400,Directed,921,,1.0
18,360,Directed,19,,1.0
18,1528,Directed,1033,,1.0
19,361,Directed,20,,1.0
19,1592,Directed,990,,1.0
20,362,Directed,21,,1.0
20,1530,Directed,1021,,1.0
21,362,Directed,22,,1.0
21,1530,Directed,1127,,1.0
22,363,Directed,23,,1.0
22,1451,Directed,869,,1.0
23,363,Directed,24,,1.0
23,1451,Directed,1149,,1.0
24,363,Directed,25,,1.0
24,1451,Directed,1049,,1.0
25,363,Directed,26,,1.0
25,1451,Directed,887,,1.0
26,364,Directed,27,,1.0
26,1576,Directed,813,,1.0
27,364,Directed,28,,1.0
27,1576,Directed,962,,1.0
28,365,Directed,29,,1.0
28,1450,Directed,931,,1.0
29,365,Directed,30,,1.0
29,1422,Directed,1142,,1.0
30,366,Directed,31,,1.0
30,1550,Directed,1100,,1.0
31,365,Directed,32,,1.0
31,1422,Directed,974,,1.0
32,366,Directed,33,,1.0
32,1550,Directed,900,,1.0
33,364,Directed,34,,1.0
33,1576,Directed,1147,,1.0
34,367,Directed,35,,1.0
34,1502,Directed,1098,,1.0
34,1513,Directed,1099,,1.0
35,368,Directed,36,,1.0
35,1579,Directed,988,,1.0
36,368,Directed,37,,1.0
36,1579,Directed,1119,,1.0
37,367,Directed,38,,1.0
37,1401,Directed,832,,1.0
38,367,Directed,39,,1.0
38,1520,Directed,947,,1.0
39,369,Directed,40,,1.0
39,1496,Directed,839,,1.0
40,369,Directed,41,,1.0
40,1415,Directed,1148,,1.0
41,368,Directed,42,,1.0
41,1579,Directed,850,,1.0
42,367,Directed,43,,1.0
42,1436,Directed,1106,,1.0
43,367,Directed,44,,1.0
43,1401,Directed,893,,1.0
43,1436,Directed,894,,1.0
44,369,Directed,45,,1.0
44,495,Directed,391,,1.0
44,1426,Directed,1011,,1.0
45,370,Directed,46,,1.0
45,1403,Directed,1144,,1.0
46,370,Directed,47,,1.0
46,1453,Directed,1020,,1.0
47,371,Directed,48,,1.0
47,1548,Directed,1077,,1.0
48,370,Directed,49,,1.0
48,1403,Directed,1063,,1.0
49,372,Directed,50,,1.0
49,1589,Directed,920,,1.0
50,370,Directed,51,,1.0
50,1453,Directed,975,,1.0
51,370,Directed,52,,1.0
51,1403,Directed,998,,1.0
52,373,Directed,53,,1.0
52,1410,Directed,957,,1.0
53,373,Directed,54,,1.0
53,1521,Directed,1044,,1.0
54,373,Directed,55,,1.0
54,413,Directed,127,,1.0
