Id,Label,type,xcoord,ycoord,category,Modularity Class,Eigenvector Centrality,In Degree,Out Degree,Degree,Weighted Degree
1,Robert C. Allen,person,0.0,0.0,individual,0,0.1708217782071894,0,2,2,2
2,Philip Ethington,person,0.0,0.0,individual,0,0.11525159594332783,0,2,2,2
3,Chien-Yi Hou,person,0.0,0.0,individual,0,0.1708217782071894,0,2,2,2
4,Christopher Johanson,person,0.0,0.0,individual,0,0.16513694022027706,0,3,3,3
5,Pamella Lach,person,0.0,0.0,individual,0,0.1708217782071894,0,2,2,2
6,Richard Marciano,person,0.0,0.0,individual,0,0.19173144637683673,0,3,3,3
7,Todd Presner,person,0.0,0.0,individual,0,0.15210367898200244,0,2,2,2
8,David Shepard,person,0.0,0.0,individual,0,0.15210367898200244,0,2,2,2
9,Natasha Smith,person,0.0,0.0,individual,0,0.1708217782071894,0,2,2,2
10,Chris Speed,person,0.0,0.0,individual,0,0.1107045008795827,0,2,2,2
11,Maciej Eder,person,0.0,0.0,individual,1,0.047918491401628883,0,3,3,3
12,David L. Hoover,person,0.0,0.0,individual,27,0.04930806299576735,0,3,3,3
13,Jan Rybicki,person,0.0,0.0,individual,1,0.05757793992174084,0,4,4,4
14,Julia Flanders,person,0.0,0.0,individual,50,0.10260663252608737,0,3,3,3
15,Rombert Stapel,person,0.0,0.0,individual,2,0.012145697327603951,0,2,2,2
16,Willeke Wendrich,person,0.0,0.0,individual,0,0.05944109733472149,0,2,2,2
17,Jacqueline Wernimont,person,0.0,0.0,individual,50,0.02157655570303109,0,2,2,2
18,Paul Caton,person,0.0,0.0,individual,21,0.23443632826688643,0,2,2,2
19,Marie Luce Demonet,person,0.0,0.0,individual,64,0.023053862200161916,0,2,2,2
20,Natalia Ermolaev,person,0.0,0.0,individual,3,0.022368834398077214,0,2,2,2
21,Toma Tasovac,person,0.0,0.0,individual,3,0.022368834398077214,0,2,2,2
22,Ed Finn,person,0.0,0.0,individual,4,0.15182781253206312,0,2,2,2
23,Zephyr Frank,person,0.0,0.0,individual,4,0.15182781253206312,0,2,2,2
24,Rhiannon Lewis,person,0.0,0.0,individual,4,0.15182781253206312,0,2,2,2
25,Franco Moretti,person,0.0,0.0,individual,4,0.15182781253206312,0,2,2,2
26,Arno Bosse,person,0.0,0.0,individual,5,0.03546316887205981,0,2,2,2
27,Keith Brisson,person,0.0,0.0,individual,5,0.03546316887205981,0,2,2,2
28,Jeremy Douglass,person,0.0,0.0,individual,6,0.02305386220016192,0,2,2,2
29,William Huber,person,0.0,0.0,individual,6,0.028181274297837015,0,2,2,2
30,Steven E. Jones,person,0.0,0.0,individual,7,0.022368834398077214,0,2,2,2
31,Lev Manovich,person,0.0,0.0,individual,6,0.028181274297837015,0,2,2,2
32,George K. Thiruvathukal,person,0.0,0.0,individual,7,0.022368834398077214,0,2,2,2
33,Yuri Tsivian,person,0.0,0.0,individual,5,0.03546316887205981,0,2,2,2
34,Steven Bird,person,0.0,0.0,individual,36,0.05610030680233061,0,3,3,3
35,Marco Buchler,person,0.0,0.0,individual,22,0.04463333414836044,0,2,2,2
36,Thomas Eckart,person,0.0,0.0,individual,22,0.04463333414836044,0,2,2,2
37,Christopher Hirt,person,0.0,0.0,individual,36,0.047913164218195615,0,2,2,2
38,Joshua Hou,person,0.0,0.0,individual,36,0.04038995267995252,0,2,2,2
39,Claus Huitfeldt,person,0.0,0.0,individual,8,0.02369176031010584,0,2,2,2
40,Yves Marcoux,person,0.0,0.0,individual,8,0.02369176031010584,0,2,2,2
41,David Pansch,person,0.0,0.0,individual,22,0.04463333414836044,0,2,2,2
42,Sven Pedersen,person,0.0,0.0,individual,36,0.047913164218195615,0,2,2,2
43,Gary F. Simons,person,0.0,0.0,individual,36,0.06296253035396167,0,3,3,3
44,Michael Sperberg-McQueen,person,0.0,0.0,individual,8,0.03268963880651282,0,3,3,3
45,Yaacov Choueka,person,0.0,0.0,individual,9,0.05102140604177004,0,2,2,2
46,Nachum Dershowitz,person,0.0,0.0,individual,9,0.044422302795212865,0,2,2,2
47,Sebastian Heath,person,0.0,0.0,individual,27,0.03953680683303295,0,2,2,2
48,Roni Shweka,person,0.0,0.0,individual,9,0.05102140604177004,0,2,2,2
49,Jacob Thaisen,person,0.0,0.0,individual,10,0.012145697327603951,0,2,2,2
50,Lior Wolf,person,0.0,0.0,individual,9,0.044422302795212865,0,2,2,2
51,Masha Zeldin,person,0.0,0.0,individual,9,0.05102140604177004,0,2,2,2
52,Karl Grossner,person,0.0,0.0,individual,50,0.07225344865841347,0,2,2,2
53,Ramesh Jain,person,0.0,0.0,individual,11,0.054565896026511566,0,2,2,2
54,Vitit Kantabutra,person,0.0,0.0,individual,11,0.07546015618083596,0,3,3,3
55,Elijah Meeks,person,0.0,0.0,individual,11,0.15786450114396275,0,2,2,2
56,Ruth Mostern,person,0.0,0.0,individual,11,0.054565896026511566,0,2,2,2
57,Ryan Shaw,person,0.0,0.0,individual,11,0.11664373055005503,0,2,2,2
58,John G. Keating,person,0.0,0.0,individual,12,0.03546316887205981,0,2,2,2
59,Lisa Spiro,person,0.0,0.0,individual,13,0.012145697327603951,0,2,2,2
60,Joshua Sternfeld,person,0.0,0.0,individual,14,0.012145697327603951,0,2,2,2
61,Aja Teehan,person,0.0,0.0,individual,12,0.03546316887205981,0,2,2,2
62,Sharon Webb,person,0.0,0.0,individual,12,0.03546316887205981,0,2,2,2
63,Reinhild Barkey,person,0.0,0.0,individual,15,0.07196494233035411,0,2,2,2
64,Alan Galey,person,0.0,0.0,individual,22,0.018946326657655735,0,2,2,2
65,Erhard Hinrichs,person,0.0,0.0,individual,15,0.07196494233035411,0,2,2,2
66,Christina Hoppermann,person,0.0,0.0,individual,15,0.07196494233035411,0,2,2,2
67,Michele Pasin,person,0.0,0.0,individual,21,0.26369627010857316,0,3,3,3
68,Thorsten Trippel,person,0.0,0.0,individual,15,0.07196494233035411,0,2,2,2
69,Claus Zinn,person,0.0,0.0,individual,15,0.07196494233035411,0,2,2,2
70,Tobias Blanke,person,0.0,0.0,individual,21,0.3138087263279933,0,3,3,3
71,Richard Connor,person,0.0,0.0,individual,21,0.08114268676830778,0,2,2,2
72,Mark Hedges,person,0.0,0.0,individual,21,0.3162739297506599,0,3,3,3
73,Conny Kristel,person,0.0,0.0,individual,21,0.07429861963900616,0,2,2,2
74,Cara Leitch,person,0.0,0.0,individual,54,0.03546316887205981,0,2,2,2
75,Peter Organisciak,person,0.0,0.0,individual,50,0.147058334645606,0,3,3,3
76,Mike Priddy,person,0.0,0.0,individual,21,0.28660020261176183,0,2,2,2
77,Ray Siemens,person,0.0,0.0,individual,54,0.03546316887205981,0,2,2,2
78,Fabio Simeoni,person,0.0,0.0,individual,21,0.08114268676830778,0,2,2,2
79,Meagan B Timney,person,0.0,0.0,individual,54,0.03546316887205981,0,2,2,2
80,Relja Arandjelovia,person,0.0,0.0,individual,16,0.027341960365656788,0,1,1,1
81,Andrew Thomas Ashton,person,0.0,0.0,individual,50,0.03448948170307883,0,2,2,2
82,Charlotte Becker,person,0.0,0.0,individual,50,0.03835973501663222,0,2,2,2
83,Anna Bentkowska-Kafel,person,0.0,0.0,individual,21,0.24432845262518282,0,2,2,2
84,Giles Bergel,person,0.0,0.0,individual,63,0.03190660529433644,0,2,2,2
85,Hanno Biber,person,0.0,0.0,individual,51,0.012145697327603951,0,2,2,2
86,Cory Bohon,person,0.0,0.0,individual,17,0.022368834398077214,0,2,2,2
87,Elizabeth Bonsignore,person,0.0,0.0,individual,18,0.10221148447549,0,2,2,2
88,John Bradley,person,0.0,0.0,individual,21,0.24689138818919426,0,2,2,2
89,Gerhard Brey,person,0.0,0.0,individual,21,0.23443632826688643,0,2,2,2
90,Susan Brown,person,0.0,0.0,individual,41,0.18575185114545598,0,4,4,4
91,Alexandra Chassanoff,person,0.0,0.0,individual,0,0.09098361950216637,0,2,2,2
92,Szu-Pei Chen,person,0.0,0.0,individual,44,0.14278527044202918,0,3,3,3
93,Worawat Choensawat,person,0.0,0.0,individual,19,0.1385345100038287,0,2,2,2
94,Warwick Claire,person,0.0,0.0,individual,22,0.18155386994039163,0,2,2,2
95,Neil Coffee,person,0.0,0.0,individual,59,0.06051188792254308,0,2,2,2
96,James Cummings,person,0.0,0.0,individual,63,0.04539100191227414,0,3,3,3
97,Alexander Dutton,person,0.0,0.0,individual,16,0.027341960365656788,0,1,1,1
98,Michael Eberle-Sinatra,person,0.0,0.0,individual,34,0.03994255364463454,0,3,3,3
99,Thomas Robert Elliott,person,0.0,0.0,individual,27,0.04547245136684669,0,2,2,2
100,Barbara Fennell,person,0.0,0.0,individual,46,0.04244573168445423,0,2,2,2
101,Leticia Flores,person,0.0,0.0,individual,22,0.07833672048497754,0,2,2,2
